iter	Passed	Remaining
0	7	7433
1	11	5850
2	16	5365
3	19	4867
4	22	4435
5	26	4381
6	29	4142
7	32	4086
8	38	4191
9	41	4146
10	45	4049
11	47	3932
12	50	3809
13	53	3762
14	57	3793
15	60	3704
16	62	3631
17	65	3560
18	67	3502
19	71	3493
20	73	3440
21	76	3394
22	78	3347
23	81	3313
24	83	3272
25	87	3279
26	90	3252
27	92	3221
28	95	3189
29	97	3162
30	100	3152
31	103	3127
32	105	3098
33	108	3079
34	110	3056
35	113	3035
36	117	3045
37	119	3024
38	122	3009
39	124	2986
40	127	2971
41	129	2953
42	132	2941
43	134	2918
44	136	2893
45	138	2868
46	140	2844
47	142	2821
48	144	2804
49	147	2800
50	149	2780
51	151	2760
52	153	2742
53	156	2742
54	159	2737
55	162	2745
56	165	2736
57	167	2727
58	170	2718
59	172	2708
60	175	2698
61	178	2702
62	181	2697
63	183	2689
64	187	2693
65	190	2694
66	193	2699
67	195	2685
68	197	2669
69	200	2657
70	202	2643
71	203	2629
72	205	2615
73	209	2618
74	211	2605
75	213	2592
76	215	2579
77	217	2569
78	219	2556
79	221	2545
80	224	2541
81	227	2543
82	229	2532
83	231	2520
84	233	2510
85	235	2500
86	238	2507
87	240	2497
88	242	2486
89	245	2479
90	247	2469
91	249	2459
92	251	2449
93	254	2448
94	255	2438
95	258	2430
96	260	2420
97	262	2412
98	264	2404
99	266	2395
100	269	2395
101	271	2390
102	273	2380
103	275	2373
104	277	2365
105	279	2357
106	281	2350
107	284	2351
108	286	2344
109	288	2336
110	290	2330
111	292	2322
112	295	2315
113	297	2313
114	300	2313
115	302	2307
116	304	2301
117	306	2294
118	309	2287
119	311	2281
120	313	2279
121	315	2272
122	317	2266
123	320	2260
124	321	2253
125	323	2247
126	326	2241
127	330	2249
128	332	2247
129	335	2243
130	337	2240
131	340	2237
132	343	2237
133	346	2237
134	348	2233
135	351	2231
136	353	2229
137	356	2226
138	359	2227
139	371	2282
140	375	2290
141	378	2284
142	379	2277
143	382	2271
144	384	2265
145	386	2258
146	388	2252
147	391	2253
148	393	2247
149	395	2241
150	397	2234
151	399	2229
152	401	2222
153	403	2216
154	406	2213
155	408	2207
156	410	2202
157	412	2197
158	414	2191
159	416	2186
160	418	2181
161	421	2180
162	423	2174
163	425	2168
164	427	2163
165	429	2157
166	431	2152
167	433	2147
168	436	2145
169	438	2139
170	440	2134
171	442	2128
172	444	2123
173	446	2118
174	448	2112
175	450	2111
176	452	2106
177	455	2101
178	456	2092
179	457	2086
180	458	2075
181	460	2070
182	462	2065
183	465	2063
184	467	2058
185	469	2053
186	470	2046
187	472	2041
188	474	2036
189	476	2032
190	478	2027
191	481	2027
192	483	2023
193	485	2018
194	487	2013
195	489	2009
196	491	2004
197	494	2001
198	496	1999
199	499	1998
200	502	1998
201	505	1996
202	507	1992
203	510	1992
204	513	1991
205	515	1988
206	518	1986
207	521	1984
208	523	1981
209	527	1982
210	529	1979
211	531	1977
212	534	1974
213	538	1976
214	542	1979
215	544	1976
216	546	1972
217	548	1967
218	550	1964
219	552	1959
220	555	1956
221	557	1953
222	559	1948
223	561	1944
224	563	1940
225	565	1936
226	567	1931
227	568	1926
228	571	1925
229	573	1921
230	575	1916
231	577	1912
232	579	1908
233	581	1904
234	583	1900
235	586	1898
236	588	1894
237	590	1890
238	592	1886
239	594	1882
240	596	1878
241	598	1874
242	601	1873
243	603	1869
244	605	1865
245	607	1861
246	609	1858
247	611	1853
248	613	1849
249	615	1846
250	618	1845
251	620	1841
252	622	1837
253	624	1833
254	626	1829
255	628	1825
256	630	1823
257	633	1820
258	635	1817
259	637	1813
260	639	1809
261	641	1806
262	643	1802
263	645	1799
264	647	1796
265	650	1794
266	652	1790
267	654	1786
268	656	1783
269	658	1779
270	660	1775
271	662	1773
272	664	1769
273	667	1769
274	670	1767
275	672	1765
276	676	1764
277	678	1762
278	681	1760
279	683	1757
280	686	1755
281	688	1754
282	692	1754
283	694	1751
284	697	1749
285	699	1746
286	702	1744
287	704	1741
288	707	1741
289	710	1739
290	713	1739
291	716	1736
292	718	1733
293	720	1729
294	723	1728
295	725	1725
296	727	1722
297	729	1719
298	731	1715
299	733	1712
300	736	1710
301	738	1707
