iter	Passed	Remaining
0	8	1735
1	13	1372
2	18	1205
3	22	1124
4	27	1061
5	31	1023
6	37	1042
7	42	1009
8	46	984
9	50	962
10	55	956
11	59	937
12	64	926
13	68	911
14	73	901
15	77	894
16	82	883
17	88	890
18	93	894
19	98	883
20	104	891
21	110	897
22	115	887
23	120	882
24	124	872
25	128	861
26	133	853
27	144	884
28	151	890
29	159	905
30	164	899
31	171	899
32	176	894
33	181	884
34	186	878
35	191	872
36	196	865
37	201	857
38	206	852
39	211	846
40	216	837
41	221	832
42	225	824
43	230	816
44	235	810
45	240	806
46	245	798
47	250	792
48	255	787
49	259	779
50	264	772
51	269	767
52	275	763
53	279	755
54	284	751
55	290	746
56	295	741
57	301	737
58	309	740
59	318	743
60	325	742
61	327	728
62	336	731
63	343	730
64	344	716
65	350	712
66	355	706
67	359	698
68	365	694
69	371	690
70	375	683
71	381	677
72	386	671
73	389	663
74	393	655
75	397	649
76	402	642
77	405	634
78	409	627
79	413	620
80	418	614
81	421	607
82	425	600
83	430	594
84	434	587
85	438	580
86	441	574
87	446	568
88	450	561
89	454	555
90	458	548
91	462	542
92	466	536
93	470	530
94	474	524
95	479	518
96	483	513
97	486	506
98	490	500
99	495	495
100	499	489
101	503	483
102	507	477
103	511	472
104	515	466
105	519	460
106	523	455
107	528	450
108	532	444
109	536	438
110	540	433
111	544	428
112	549	422
113	553	417
114	557	412
115	561	406
116	565	401
117	569	395
118	573	390
119	578	385
120	582	380
121	585	374
122	590	369
123	594	364
124	598	359
125	602	353
126	606	348
127	610	343
128	614	338
129	618	333
130	622	328
131	627	323
132	630	317
133	634	312
134	638	307
135	643	302
136	647	297
137	651	292
138	655	287
139	659	282
140	663	277
141	667	272
142	671	267
143	676	262
144	679	257
145	683	252
146	688	248
147	692	243
148	695	238
149	699	233
150	704	228
151	708	223
152	711	218
153	715	213
154	720	209
155	724	204
156	727	199
157	731	194
158	735	189
159	740	185
160	744	180
161	747	175
162	752	170
163	756	166
164	760	161
165	764	156
166	768	151
167	772	147
168	776	142
169	780	137
170	784	133
171	789	128
172	793	123
173	797	119
174	802	114
175	805	109
176	809	105
177	814	100
178	818	96
179	822	91
180	826	86
181	830	82
182	835	77
183	839	72
184	843	68
185	847	63
186	851	59
187	855	54
188	859	50
189	863	45
190	868	40
191	871	36
192	875	31
193	879	27
194	884	22
195	888	18
196	890	13
197	894	9
198	899	4
199	903	0
